"arv";"hi1";"hi2";"xvisc1";"xvisc2";"dap1";"dap2";"ht1";"ht2";"disc1";"disc2";"dmte1";"dmte2";"vmte"
4;11;13;0,029028316;0,024253095;18,08;18,08;27,9;27,9;13,1;12,81;13,1029012434293;12,1755593078342;0,0251231143572427
4;13;16;0,024253095;0,029782298;18,08;18,08;27,9;27,9;12,81;10,91;12,1755593078342;10,522825842673;0,0309013256902725
4;16;19;0,029782298;0,021237166;18,08;18,08;27,9;27,9;10,91;9,33;10,522825842673;8,65366372198749;0,0218339698968655
4;19;24;0,021237166;0,018095574;18,08;18,08;27,9;27,9;9,33;4,77;8,65366372198749;4,94009288366699;0,0189651461287553
5;1,3;2;0,03493451;0,01796991;19,32;19,32;27,3;27,3;18;17,5;18,0685868718673;17,7585508641989;0,0176015151002145
5;2;3;0,01796991;0,024504423;19,32;19,32;27,3;27,3;17,5;17,64;17,7585508641989;17,2654968408957;0,0240715914293101
5;3;4;0,024504423;0,023373449;19,32;19,32;27,3;27,3;17,64;16,89;17,2654968408957;16,833307370313;0,0228066664981657
5;4;5;0,023373449;0,022242476;19,32;19,32;27,3;27,3;16,89;16,6;16,833307370313;16,4016364543931;0,0216970761116542
5;5;6;0,022242476;0,020985839;19,32;19,32;27,3;27,3;16,6;16,08;16,4016364543931;15,9840160355139;0,0205841019275283
5;6;7;0,020985839;0,020106193;19,32;19,32;27,3;27,3;16,08;15,93;15,9840160355139;15,532619569703;0,0195373071725521
5;7;8;0,020106193;0,019100883;19,32;19,32;27,3;27,3;15,93;15,36;15,532619569703;15,1006333351751;0,0184255886691503
5;8;9;0,019100883;0,017718583;19,32;19,32;27,3;27,3;15,36;14,79;15,1006333351751;14,6409100644563;0,0173823275432173
5;9;10;0,017718583;0,016587609;19,32;19,32;27,3;27,3;14,79;14,47;14,6409100644563;14,2017360946642;0,0163033918099581
5;10;11;0,016587609;0,015330972;19,32;19,32;27,3;27,3;14,47;13,74;14,2017360946642;13,6912198872288;0,0153034854246274
5;11;13;0,015330972;0,029028316;19,32;19,32;27,3;27,3;13,74;12,6;13,6912198872288;12,6416184627707;0,0272663507837292
5;13;16;0,029028316;0,031667254;19,32;19,32;27,3;27,3;12,6;10,68;12,6416184627707;10,8307626028055;0,0328185977584736
5;16;20;0,031667254;0,029405307;19,32;19,32;27,3;27,3;10,68;7,77;10,8307626028055;8,00442820369797;0,0283162172109382
5;20;24;0,029405307;0,012943362;19,32;19,32;27,3;27,3;7,77;4,4;8,00442820369797;4,64835113570629;0,0130851641759605
6;1,3;2;0,02136283;0,010681415;15,57;15,57;25,6;25,6;14,22;13,9;14,5635866057303;14,327918164876;0,0114250121900657
6;2;3;0,010681415;0,014199999;15,57;15,57;25,6;25,6;13,9;13,58;14,327918164876;13,9068088984936;0,0156475588442856
6;3;4;0,014199999;0,013948671;15,57;15,57;25,6;25,6;13,58;13,26;13,9068088984936;13,5594750448989;0,0147718320272765
6;4;5;0,013948671;0,012943362;15,57;15,57;25,6;25,6;13,26;12,78;13,5594750448989;13,1591228235656;0,0140494320176816
6;5;6;0,012943362;0,012692034;15,57;15,57;25,6;25,6;12,78;12,31;13,1591228235656;12,8186043973966;0,0132193500226992
6;6;7;0,012692034;0,011561061;15,57;15,57;25,6;25,6;12,31;11,99;12,8186043973966;12,4032917540345;0,0125311475068385
6;7;8;0,011561061;0,010807079;15,57;15,57;25,6;25,6;11,99;11,57;12,4032917540345;12,0220752316768;0,0117136074205322
6;8;9;0,010807079;0,010430088;15,57;15,57;25,6;25,6;11,57;11,13;12,0220752316768;11,6078206493592;0,0109783082796414
6;9;11;0,010430088;0,017592919;15,57;15,57;25,6;25,6;11,13;10,41;11,6078206493592;10,7622664821636;0,0198093349954216
6;11;13;0,017592919;0,015959291;15,57;15,57;25,6;25,6;10,41;9,2;10,7622664821636;9,81419904906024;0,0166574663274421
6;13;16;0,015959291;0,016713273;15,57;15,57;25,6;25,6;9,2;7,55;9,81419904906024;8,16747452938985;0,0193167813264268
